UserID,UserName,Phone,Email,UserAddress
1,Mona,13567051078,1093582973@gmail.com,Muse
2,Amber,13184528242,2220367206@gmail.com,Shaw
3,Barbara,13282815150,37453128830@gmail.com,Diligentia
4,Klee,13209664463,41508882943@gmail.com,Muse
5,Eula,13131927136,22868949008@gmail.com,Harmonia
6,Kuki,13192788489,9459486771@gmail.com,Ling
7,Collei,13378019004,0048338270@gmail.com,Muse
8,Nolle,13694989152,1290375058@gmail.com,Diligentia
9,Fischl,13219846403,7699922263@gmail.com,Shaw
10,Kirara,13679682498,2141419682@gmail.com,Shaw
11,Dori,13185715616,2683423803@gmail.com,Ling
12,Yelan,13184909722,5397262751@gmail.com,Harmonia
13,Xiangling,13270087930,26715776149@gmail.com,Harmonia
14,Ningguang,13643705018,88818324566@gmail.com,Ling
15,Albedo,13230921235,124109284@gmail.com,Shaw
16,Mika,13628951286,4835729345@gmail.com,Shaw
17,Kaeya,13178302583,32574938759@gmail.com,Ling
18,Diluc,13112857398,4326434872@gmail.com,Harmonia
19,Jean,13245906931,35433335234@gmail.com,Harmonia
20,Tighnari,13670394851,257067432@gmail.com,Ling
21,Aether,15337009199,4606880@gmail.com,Muse
22,Lumine,13731105814,137509150@gmail.com,Muse
23,Paimon,15595088422,1235127682@gmail.com,Minerva
24,Keqing,13122109493,0980172351@gmail.com,Diligentia
25,Xiao,13765722972,123987925@gmail.com,Diligentia
26,Zhongli,14925189562,1233284970@gmail.com,Shaw
27,Qiqi,13600287577,3451986352@gmail.com,Ling
28,Yanfei,13513263913,1231897893@gmail.com,Ling
29,Alhaitham,14983774132,3519826352@gmail.com,Minerva
30,Dehya,14907399734,3451263525@gmail.com,Minerva
